Family ID	Animal ID	Maternal ID	Pairs	SEX	Phenotype
0	NE01_729_73617	Pair61	61	1	2
0	NE01_729_73521	Pair61	61	1	1
0	NE01_7DRH_20806	Pair62	62	2	2
0	NE01_7DRH_20266	Pair62	62	2	1
0	NE01_749_21597	Pair63	63	1	2
0	NE01_749_22123_A	Pair63	63	1	1
0	NE01_724_72521	Pair64	64	2	2
0	NE01_724_72494	Pair64	64	2	1
0	NE01_709_72745	Pair65	65	1	2
0	NE01_709_72700_A	Pair65	65	1	1
0	WY02_2466_1	Pair66	66	1	2
0	WY02_2466_5	Pair66	66	1	1
0	WY02_2446_2519	Pair67	67	1	2
0	WY02_2446_1219	Pair67	67	1	1
0	WY02_2466_2	Pair68	68	1	2
0	WY02_2466_6	Pair68	68	1	1
0	NE01_7DRS_69348	Pair69	69	1	2
0	NE01_7DRS_69203	Pair69	69	1	1
0	NE01_749_21256	Pair70	70	1	2
0	NE01_749_22123_B	Pair70	70	1	1
0	NE01_7DRS_69446	Pair71	71	1	2
0	NE01_7DRS_69227	Pair71	71	1	1
0	NE01_750_70140	Pair72	72	2	2
0	NE01_750_70058	Pair72	72	2	1
0	NE01_7DRH_20211	Pair73	73	2	2
0	NE01_7DRH_20299	Pair73	73	2	1
0	NE01_7DRS_68948	Pair74	74	1	2
0	NE01_7DRS_69205	Pair74	74	1	1
0	NE01_7DRH_20589	Pair75	75	2	2
0	NE01_7DRH_20302	Pair75	75	2	1
0	NE01_750_70414	Pair76	76	2	2
0	NE01_750_70036	Pair76	76	2	1
0	NE01_7DRS_69484	Pair77	77	1	2
0	NE01_7DRS_69263	Pair77	77	1	1
0	NE01_749_21681	Pair78	78	1	2
0	NE01_749_21797	Pair78	78	1	1
0	NE01_749_21815	Pair79	79	1	2
0	NE01_749_21778	Pair79	79	1	1
0	NE01_709_72657	Pair80	80	1	2
0	NE01_709_72686	Pair80	80	1	1
0	NE01_7DRH_20739	Pair81	81	2	2
0	NE01_7DRH_20261	Pair81	81	2	1
0	NE01_730_30198	Pair82	82	2	2
0	NE01_730_30074	Pair82	82	2	1
0	NE01_749_21951	Pair83	83	1	2
0	NE01_749_21774	Pair83	83	1	1
0	NE01_772_30456	Pair84	84	2	2
0	NE01_772_30523	Pair84	84	2	1
0	NE04_916_380	Pair85	85	1	2
0	NE04_916_485	Pair85	85	1	1
0	NE04_916_508	Pair86	86	1	2
0	NE04_916_280	Pair86	86	1	1
0	NE04_916_282	Pair87	87	1	2
0	NE04_916_479	Pair87	87	1	1
0	NE04_916_262	Pair88	88	1	2
0	NE04_916_115	Pair88	88	1	1
0	NE04_916_579	Pair89	89	1	2
0	NE04_916_386	Pair89	89	1	1
0	NE01_769_73060	Pair90	90	1	2
0	NE01_769_72995	Pair90	90	1	1
0	NE01_750_70397	Pair91	91	2	2
0	NE01_750_70082	Pair91	91	2	1
0	NE01_709_72687	Pair92	92	1	2
0	NE01_709_72719	Pair92	92	1	1
0	NE01_709_72742	Pair93	93	1	2
0	NE01_709_72740	Pair93	93	1	1
0	NE01_746_32185	Pair94	94	2	2
0	NE01_746_32257	Pair94	94	2	1
0	NE01_749_21357	Pair95	95	1	2
0	NE01_749_21814	Pair95	95	1	1
0	NE01_769_72999	Pair96	96	1	2
0	NE01_769_73017	Pair96	96	1	1
0	NE01_7DRH_20498	Pair97	97	2	2
0	NE01_7DRH_20289	Pair97	97	2	1
0	NE01_750_70098	Pair98	98	2	2
0	NE01_750_70297	Pair98	98	2	1
0	NE01_749_21474	Pair99	99	1	2
0	NE01_749_21618	Pair99	99	1	1
0	NE01_749_21537	Pair100	100	1	2
0	NE01_749_21656	Pair100	100	1	1
0	NE01_770_70516	Pair101	101	2	2
0	NE01_770_70506	Pair101	101	2	1
0	NE01_709_72665	Pair102	102	1	2
0	NE01_709_72700_B	Pair102	102	1	1
